# Extracted surface points
# Object: trace_plane_Stand
# CoordinateSpace: World
# Units: meters
# Count: 3377
# Color 0: Name=Green, RGB=0,255,0, Tolerance=0
# Color 1: Name=SecondColor, RGB=255,0,0, Tolerance=0
index,x,y,z,colorIndex,colorName
453,-0.08456619,0.06692751,0.05046298,0,Green
454,-0.08446477,0.06690234,0.04934025,0,Green
455,-0.08437514,0.06695119,0.05000068,0,Green
456,-0.08388925,0.06706381,0.05004314,0,Green
457,-0.08408102,0.06704295,0.05050579,0,Green
458,-0.08413284,0.06705560,0.05143384,0,Green
459,-0.08392791,0.06709691,0.05097923,0,Green
460,-0.08365703,0.06717109,0.05153748,0,Green
461,-0.08345211,0.06721239,0.05108287,0,Green
462,-0.08370301,0.06717341,0.05203746,0,Green
463,-0.08321845,0.06729575,0.05208450,0,Green
464,-0.08292677,0.06737959,0.05248203,0,Green
465,-0.08350777,0.06723453,0.05249380,0,Green
466,-0.08320904,0.06730924,0.05288897,0,Green
467,-0.08287736,0.06739216,0.05325593,0,Green
468,-0.08316199,0.06732114,0.05366287,0,Green
469,-0.08268631,0.06743611,0.05377223,0,Green
470,-0.08068442,0.06780993,0.05747799,0,Green
471,-0.08087559,0.06773670,0.05793459,0,Green
472,-0.08042160,0.06783055,0.05812511,0,Green
473,-0.08025224,0.06783707,0.05859557,0,Green
474,-0.07992998,0.06787634,0.05909660,0,Green
475,-0.08080031,0.06771582,0.05843091,0,Green
476,-0.08041690,0.06775981,0.05906131,0,Green
477,-0.08024998,0.06768168,0.06029145,0,Green
478,-0.08019707,0.06777523,0.05951044,0,Green
479,-0.07982123,0.06783365,0.05983695,0,Green
480,-0.07949706,0.06787383,0.06021751,0,Green
481,-0.07983766,0.06775450,0.06056517,0,Green
482,-0.07942424,0.06782770,0.06083766,0,Green
483,-0.07895740,0.06784549,0.06158403,0,Green
484,-0.07863367,0.06784923,0.06211654,0,Green
485,-0.07852811,0.06780745,0.06260448,0,Green
486,-0.07911926,0.06774393,0.06204616,0,Green
487,-0.07901371,0.06770215,0.06253411,0,Green
488,-0.07895632,0.06759625,0.06331167,0,Green
489,-0.07860305,0.06762165,0.06366493,0,Green
